iter	Passed	Remaining
0	0	417
1	0	421
2	1	409
3	1	408
4	2	404
5	2	405
6	2	411
7	3	407
8	3	428
9	4	446
10	5	463
11	5	478
12	6	472
13	6	474
14	7	469
15	7	469
16	8	476
17	8	482
18	9	479
19	9	485
20	10	489
21	11	493
22	11	492
23	12	496
24	12	491
25	13	488
26	13	486
27	14	489
28	14	491
29	15	494
30	15	496
31	16	497
32	16	496
33	17	495
34	17	494
35	18	490
36	18	488
37	19	490
38	19	491
39	20	493
40	21	494
41	21	492
42	21	489
43	22	488
44	22	487
45	23	489
46	24	490
47	24	490
48	25	488
49	25	489
50	26	489
51	26	489
52	27	489
53	28	490
54	28	491
55	29	491
56	29	489
57	29	486
58	30	487
59	31	488
60	31	487
61	32	487
62	32	489
63	33	486
64	33	487
65	34	486
66	34	486
67	35	484
68	35	482
69	36	483
70	37	484
71	37	483
72	38	483
73	38	484
74	39	483
75	39	484
76	40	484
77	41	486
78	41	487
79	42	487
80	43	488
81	43	488
82	44	488
83	44	486
84	45	486
85	45	486
86	46	484
87	46	484
88	47	484
89	47	485
90	48	485
91	49	485
92	49	485
93	50	485
94	50	485
95	51	485
96	52	485
97	52	485
98	53	485
99	53	485
100	54	483
101	54	483
102	55	483
103	56	483
104	56	483
105	57	483
106	57	483
107	58	483
108	59	483
109	59	483
110	60	483
111	61	483
112	61	483
113	62	483
114	62	483
115	63	483
116	64	483
117	64	483
118	65	483
119	65	483
120	66	482
121	67	482
122	67	482
123	68	482
124	68	482
125	69	481
126	70	481
127	70	481
128	71	480
129	71	480
130	72	480
131	72	479
132	73	479
133	74	479
134	74	479
135	75	478
136	76	479
137	76	478
138	77	478
139	77	478
140	78	478
141	79	478
142	79	477
143	80	477
144	80	477
145	81	477
146	82	476
147	82	476
148	83	476
149	83	475
150	84	475
151	85	475
152	85	474
153	86	474
154	86	474
155	87	473
156	88	473
157	88	473
158	89	473
159	90	472
160	90	472
161	91	472
162	91	472
163	92	471
164	93	471
165	93	471
166	94	471
167	95	470
168	95	470
169	96	470
170	97	470
171	97	470
172	98	469
173	98	469
174	99	468
175	100	468
176	100	468
177	101	467
178	101	467
179	102	467
180	103	466
181	103	466
182	104	465
183	104	465
184	105	465
